,czone,I_c_80,pop_80,manuf_80,female_80,emp_80,col_80,fborn_80,fborn_denom_80,manuf_share_80,female_share_80,col_share_80,lnpop_80,fborn_share_80,x,z_1,z_2,Dln_wage,Dunemp_rate,Dnilf_rate,statefip
0,100.0,2299.229235202074,274763.52034181356,69396.1703889072,74926.01040706038,184168.3932673931,31702.086150348186,2299.229235202074,274501.7830890417,0.3768082522615662,0.4068342514031477,0.11537953113611989,12.52366608067045,0.008376008378992059,0.01950638046175264,0.015152353173352675,1.8107432854588448,1.0840715871925215,-0.00822378052721788,-0.03283995770792375,47.0
1,200.0,681.828202009201,87065.64040184021,21683.318395018578,22721.354989409447,56993.72181117535,7259.196121096611,681.828202009201,86938.75084340572,0.380450998916286,0.39866417330468557,0.08337612963727975,11.374417600531677,0.007842627083949153,0.09030165931938204,0.010949896392373433,1.3982404056130953,1.1160682943958207,-0.033555182470354904,-0.04481902518041289,47.0
2,301.0,171.39552310109138,32292.15873271227,3768.358588516712,6620.892740339041,17315.47085776925,2107.9617069661617,171.39552310109138,32245.102782696486,0.21762957643314063,0.3823686225297375,0.06527781943641867,10.382579716045754,0.005315397015669196,0.008843523880291622,0.010807709920677623,2.0362508773918413,0.9617785759166619,-0.03478376914625532,-0.023858402781958,47.0
3,302.0,4434.602354466915,321966.6437859833,50560.66945001483,92739.09244701266,220634.37091439962,54049.13498952985,4434.602354466915,321440.2248056233,0.22916043969246772,0.4203293079979502,0.1678718464558,12.682203228433895,0.01379604048357216,0.04901540563320963,0.03191413830066969,2.317070884075585,1.1313585290297896,-0.007422927764873848,-0.053983186961024915,47.0
4,401.0,2779.999994635582,212379.99883949757,60379.99959111214,73159.99961972237,160559.99914169312,31899.99992519617,2779.999994635582,212039.99884068966,0.3760587936838938,0.4556552068436371,0.15020246774416848,12.266132396493562,0.013110733870189547,0.11848672729479495,0.022514179272043806,1.7199861067969886,1.1967225252918614,0.006777462177728455,-0.017525756374946855,37.0
5,402.0,406.5240950882435,48519.200105667114,17227.831921577454,15634.696954339743,36455.32290548086,4241.035154163837,406.5240950882435,48442.2901417315,0.47257383966244726,0.42887281494876434,0.08740942028985507,10.789714877053731,0.00839192560671354,0.042522360228910226,0.01799979250921546,2.1482995600187964,1.1124801618044622,0.03350945851292362,0.004506313014918689,51.0
6,500.0,4920.0,448460.0,149060.0,160380.0,348620.0,63400.0,4920.0,447380.0,0.42757156789627676,0.46004245310079744,0.14137269767649288,13.013574770327521,0.010997362421207921,0.1196800606520091,0.02436560188775814,2.220934516785369,1.2083081870543697,0.019060496192912384,-0.007939821417527443,37.0
7,601.0,419.53013330698013,42128.63059580326,12078.5652333498,13629.85107511282,30323.2477748394,4156.275274157524,419.53013330698013,42040.82196325064,0.3983268983268983,0.4494851994851995,0.09865678554886521,10.648482850191364,0.009979113483406823,0.05353097964018976,0.02492447250812167,2.502880750931846,1.2612260937782866,-0.010113129740679225,-0.009372829967694202,37.0
8,602.0,222.08178535103798,30894.262791574,8576.833768039942,9305.538709908724,21576.67849212885,2794.6256151795387,222.08178535103798,30872.744012773037,0.3975048231435975,0.43127762752285415,0.09045775372706856,10.338325775471397,0.007193457933611463,0.027096041109525137,0.01714618301120226,2.3852414685121244,1.137196980451783,0.0005798124170736801,0.02112499785873151,51.0
9,700.0,2300.191932320595,148418.55688795447,51996.686306893826,48353.858915269375,110951.20083153248,17349.954620152712,2300.191932320595,148073.8663072884,0.4686446466302355,0.43581194753078456,0.1168988230578923,11.907791648312553,0.01553408437075014,0.07407447086269084,0.021378102767405944,1.3794097427946914,1.1909685504450844,0.0295426428575404,0.021808923695210675,45.0
10,800.0,1400.7300508022308,176799.75077569485,67958.42984199524,61451.66790723801,136945.61619758606,14824.352231621742,1400.7300508022308,176550.43215692043,0.49624392316395405,0.448730449455024,0.0838482643023029,12.082773019544952,0.007933880612409053,0.07071280301214346,0.019749893228210483,2.492825936442482,1.2323362306764467,0.029752129146980263,0.017245766431804338,37.0
11,900.0,8945.803565382957,497275.5240133405,128224.71812039614,175275.03681451082,389973.8657784462,77206.24483704567,8945.803565382957,495785.28531581163,0.3288033618982144,0.44945328955476443,0.15525848570615441,13.116899525742433,0.018043705269882193,0.23697094617400824,0.03328291381900655,1.8501164584121756,1.3463284018866382,0.01829154525713883,-0.018922680327302654,37.0
12,1001.0,310.2364207804203,31169.087669551373,8618.448664546013,9759.589586853981,22127.217293083668,3244.3844406306744,310.2364207804203,31107.746752500534,0.3894953690015008,0.4410671914856889,0.10408981087374163,10.347182102828736,0.009972963430901101,0.03157348041922154,0.022196062197866358,2.2300122172108767,1.188308806718996,-0.010098971963505968,-0.017307173377198032,37.0
13,1002.0,553.0468998849392,70880.3287974,27358.690672814846,24322.11468473077,54372.40847527981,6155.590135753155,553.0468998849392,70795.84090903401,0.503172315518327,0.4473245781596877,0.08684483043734063,11.168748224057707,0.0078118557924264555,0.04522891124388599,0.01459504352224227,1.8705492859360067,1.202155878350028,0.024270482292304163,0.025404409033940034,37.0
14,1100.0,1116.4145767688751,149582.3948597908,60968.471002578735,53982.10067152977,119838.83446335793,15266.063945293427,1116.4145767688751,149417.9347538948,0.5087538716109637,0.4504558218816406,0.10205789230479216,11.915602656179002,0.007471757514301837,0.11118160288060508,0.017644272993567144,2.364061402329842,1.2787358415280399,0.026029585691325227,0.01855310765363835,37.0
15,1201.0,122.1153113245964,15389.1178804636,3785.0711600482464,4377.774350196123,10295.49882888794,1517.6789446175098,122.1153113245964,15372.72704705596,0.36764329955803493,0.42521245672066044,0.09862026897228429,9.641415907481534,0.007943633614959865,0.07121322334314259,0.006500338207671041,0.8191804111675081,1.1976290414630641,-0.02631260093096103,-0.06820666294993513,37.0
16,1202.0,204.51422214508057,21780.76465845108,4818.866359293461,5815.873192250729,14047.570633590221,2275.2207213640213,204.51422214508057,21767.982519567013,0.34303912647861695,0.4140127388535032,0.10446009389671361,9.988782504155843,0.009395184967704051,0.04283053384413458,0.006828752979471302,0.7272621923136937,1.173400417421759,-0.03359181290776514,-0.08943510198663895,37.0
17,1203.0,2179.549016356468,155321.97138637304,35153.123939335346,47563.425367474556,110220.27364939451,21922.48284161091,2179.549016356468,155148.24957340956,0.31893519019155925,0.43153064125726603,0.14114218771455952,11.953255476183115,0.014048170200754977,0.09329819119791898,0.01848101682856797,1.3170192298939505,1.2023945176623223,-0.0109762076521712,-0.047680994888870065,37.0
18,1204.0,159.1883136332035,20376.47798985243,5054.271757379174,5826.568623408675,13673.495145440102,1999.485928043723,159.1883136332035,20353.952316120267,0.36964007399854126,0.4261213801909123,0.0981271605936745,9.92213647485747,0.007821002582733126,0.07786702329798888,0.006472607226395134,0.8285089255326519,1.1983337208421518,-0.025402238407735672,-0.06653070990308757,37.0
19,1301.0,176.4513999223709,34429.19715285301,10565.90982735157,10939.986795186996,23764.474541544914,2957.3254626989365,176.4513999223709,34372.73270487785,0.4446094446094446,0.46035046035046034,0.08589585895858959,10.446660237816518,0.00513347022587269,0.03721604643840646,0.014620487044375286,2.852749432098506,1.2064614106521505,0.009832861743875473,0.0022998364011478367,45.0
20,1302.0,2283.548585176468,213050.79993963242,47194.0892803669,68980.01228094101,151575.5234515667,22962.674287557602,2283.548585176468,212167.26439237595,0.31135692759422956,0.45508674956337763,0.1077802772581189,12.269285913624753,0.010762963795175017,0.07220472027883658,0.01646447304288957,1.5361044538936595,1.2271771365249806,0.009208861488136592,-0.013575985101403093,45.0
